params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': 15, 'n_estimators': 110}",0.7696319417349461,0.005007761092577853,1
"{'max_depth': 15, 'n_estimators': 150}",0.7696059305501366,0.005092565526047737,2
"{'max_depth': 15, 'n_estimators': 120}",0.7695539081805176,0.005254146658093054,3
"{'max_depth': 15, 'n_estimators': 90}",0.7693588242944467,0.004577599034498415,4
"{'max_depth': 12, 'n_estimators': 120}",0.7693328131096372,0.0051905839052165045,5
"{'max_depth': 12, 'n_estimators': 150}",0.7693068019248276,0.005198919478045139,6
"{'max_depth': 15, 'n_estimators': 100}",0.769293796332423,0.005154039312282542,7
"{'max_depth': 12, 'n_estimators': 80}",0.7692417739628041,0.005273298631960589,8
"{'max_depth': 12, 'n_estimators': 110}",0.7692287683703991,0.005560312848333926,9
"{'max_depth': 10, 'n_estimators': 80}",0.7692027571855898,0.005197748095854946,10
"{'max_depth': 10, 'n_estimators': 90}",0.7692027571855898,0.005338379835496447,10
"{'max_depth': 10, 'n_estimators': 100}",0.7691637404083755,0.005347323296578484,12
"{'max_depth': 10, 'n_estimators': 120}",0.7691507348159708,0.005290575241399125,13
"{'max_depth': 10, 'n_estimators': 110}",0.7691377292235662,0.005398636916140269,14
"{'max_depth': 10, 'n_estimators': 150}",0.769137729223566,0.00529966320974613,15
"{'max_depth': 12, 'n_estimators': 100}",0.769137729223566,0.00519620211806211,15
"{'max_depth': 12, 'n_estimators': 90}",0.7691117180387567,0.005320241163443981,17
"{'max_depth': 8, 'n_estimators': 120}",0.7690206788919236,0.005293132310297302,18
"{'max_depth': 8, 'n_estimators': 110}",0.7690076732995188,0.005289440146093526,19
"{'max_depth': 15, 'n_estimators': 80}",0.768994667707114,0.005218403803823078,20
"{'max_depth': 8, 'n_estimators': 100}",0.7689686565223046,0.0052143181347553,21
"{'max_depth': 8, 'n_estimators': 90}",0.7689556509298999,0.005252472368288583,22
"{'max_depth': 8, 'n_estimators': 80}",0.7689556509298999,0.005264695291213123,22
"{'max_depth': 8, 'n_estimators': 150}",0.7689556509298998,0.005236346106383457,24
